codigo_producto,producto,n_organismos,n_ordenes,n_lineas,gasto_total
42271715,Conectores o tubos de oxígeno médico,4,5,12,13544108
44121707,Lápices de colores,4,5,23,733247
41106217,Placas de cultivo especializadas para bacterias,4,5,25,23083125
42272219,Filtros o intercambiadores de humedad o calor del ,4,5,5,3920271
42131501,Pecheras para pacientes,4,5,5,7663700
50171831,Salsas para cocinar,4,5,20,3030684
44103201,Reloj de control,4,5,5,7873313
44101501,Fotocopiadoras,4,5,8,9198120
43211711,Escáner,4,5,7,15964939
42281807,Cintas indicadores de esterilización,4,5,10,26155134
53131635,Hisopo,4,5,7,1029500
42271901,Cánula faríngea para vía aérea,4,5,9,432850
92121703,Alarmas,4,5,5,4812333
42295420,"Catéteres, kits de cateterización o bolsas de drenaje para cirugía o endoscopia",4,5,8,11670000
44111808,Regla T,4,5,14,70838
47131816,Desodorantes,4,5,5,210778
30201803,Unidades para contenedores,4,5,7,17832844
10151605,Semillas de avena,4,5,6,234470
31211904,Brochas,4,4,4,164100
80111703,Servicios de evaluación de currículum vitae,4,4,7,806124
42311531,Coberturas para apósitos,4,4,4,8290810
42191810,Colchones o accesorios de cuidado del paciente,4,4,4,20621990
42272404,Unidad de drenaje de la cavidad pleural o accesorios,4,4,4,2890500
42131606,Mascarillas de aislamiento o quirófano para el personal sanitario,4,4,4,1534000
91111602,Servicios de mantenimiento de patios y piscinas,4,4,9,233572342
42271915,Accesorios de traqueotomía,4,4,37,8030820
78102203,Servicios de entrega o recolección de correo,4,4,4,2797649
47131705,Accesorios para urinarios o aseos,4,4,17,6753556
72102302,"Instalación, reparación o mantenimiento de sistemas de calefacción",4,4,5,19716034
44101707,Corcheteras,4,4,4,240940
50193001,Comida para bebés,4,4,12,16947024
46171604,Sistemas de alarma,4,4,5,3221319
39121303,Cajas eléctricas,4,4,6,88954
76101501,Servicios de saneamiento de aseos,4,4,6,54544900
78111803,Servicios de autobuses contratados,4,4,4,7953000
44121704,Lápiz pasta,4,4,6,110442
44101801,Calculadoras o accesorios,4,4,4,1328405
53111601,Zapatos de hombre,4,4,6,1749013
51142148,Hialuronato sódico,4,4,4,1730280
51161615,Cetirizina,4,4,4,928979
82121701,Servicios de copias en blanco y negro,4,4,4,72502501
30221001,Carpas,4,4,4,50362160
44111509,Portalápiz,4,4,4,511986
56101508,Colchones o sets de cama,4,4,4,1658940
42281521,Sets de esterilización,4,4,6,55189250
51111716,Rituximab,4,4,6,75264044
51142001,Acetaminofen,4,4,4,5644800
51142941,Propofol,4,4,6,23775600
44121706,Lápices de madera,4,4,5,1636737
44121802,Líquido corrector,4,4,4,199902
44121613,Saca corchetes,4,4,5,34567
47131503,Paños de gamuza o guantes lavables,4,4,5,274450
27112004,Palas,4,4,5,296775
47131605,Cepillos de limpieza,4,4,4,422514
47131603,Esponjas,4,4,5,79370
47121605,Limpiadores de suelo,4,4,4,176225
24111502,Bolsas de papel,4,4,9,1224800
42131601,Delantales o pecheras para el personal sanitario,4,4,5,6765000
50121539,Pescado fresco,4,4,10,4422628
53131628,Shampoo,4,4,5,258040
42152802,Limas periodontales,4,4,13,1613450
42311902,Bolsas de drenaje o depósitos para el drenaje médi,4,4,7,26083630
13101723,Termoplástico,4,4,7,2281980
73152102,Servicio de reparación de equipo de fabricación,4,4,5,1441902
72102304,Mantenimiento o reparación de sistemas de fontaner,4,4,5,28828200
42281709,Cepillos de limpieza de esterilización,4,4,9,13431500
42221609,Juegos de administración de tubos arteriales o intravenosos,4,4,5,9733475
42221614,Tubería intravenosa con equipo de administración del catéter,4,4,8,5399500
42181709,Papel de registro de electrocardiografía (ECG),4,4,5,1040820
52161505,"Televisores convencionales, de plasma y LCD",4,4,4,6871199
40161505,Filtros de aire,4,4,4,467891
50131609,Mayonesa,4,4,4,246420
80161602,Servicios de inventariado o recepción de materiale,4,4,6,2703840
31261501,Cubiertas y cajas de plástico,4,4,11,919972
42181905,Cables de control de transductor médico,4,4,4,4160630
53131606,Desodorantes,4,4,5,260156
93151507,Procedimientos o servicios administrativos,4,4,5,52501312
41111808,Equipo de examen por rayos X,4,4,7,5016984
72102301,"Supervisión de instalación, ajuste o mantenimiento",4,4,4,2272800
47131704,Jabón de uso público o expendedoras de loción,4,4,4,2550908
55121616,Banderitas autoadhesivas,4,4,4,98837
60121124,Papel kraft,4,4,5,413400
43231505,Software de gestión de recursos humanos,4,4,4,187408
70141605,Servicios integrados de gestión de plagas,4,4,4,2918060
44103105,Cartuchos de tinta,4,4,11,726070
51101815,Nistatina,4,4,5,726786
51141703,Olanzapina,4,4,4,5146548
51101603,Metronidazol,4,4,4,956500
51131604,Warfarina sódica,4,4,4,6436560
51171911,Sucralfato,4,4,4,10870170
51131506,Eritropoyetina,4,4,4,111601000
51161515,Montelukast sódico,4,4,4,2076600
42161504,Adaptadores o abrazadoras o conectores de catéter ,3,26,32,13657740
42242001,Dispositivos prostéticos de la extremidad inferior,3,22,33,25590825
42203405,Globos de Angioplastia,3,20,24,10580700
80111504,"Formación, capacitación y entrenamiento de personal",3,17,24,105495157
42294216,Sets de instrumentos quirúrgicos de angiografía,3,14,20,47761333
41116008,Reactivos de analizadores hematológicos,3,13,17,18058700
42312301,Absorbedores para limpiar la herida,3,10,11,14502300
42183028,Accesorios oftalmológicos para retinoscopia,3,9,23,50843590
41116203,Accesorios de monitores o medidores,3,8,15,45988666
27112801,Brocas,3,7,11,2777279
85101601,Servicios de enfermería,3,6,10,99960000
42231804,Fórmulas suplementarias para enfermedades pediátri,3,6,11,20534836
24101601,Ascensores,3,6,6,11024791
42293401,Guías quirúrgicas,3,6,6,3821000
85101502,Servicios clínicos especializados privados,3,6,8,3775114958
42242002,Dispositivos prostéticos de la extremidad superior,3,5,7,4123630
